sElectionAbbr	iContestID	iCandidateID	szCandNameLast	szCandNameFirst	szCandNameMiddle	sCandNameSuffix	szCandidateBallotName	szCandidateAbbr	lLanguageHndl	sLanguageAbbr	szBallotDesignation	lPartyHndl	sPartyAbbr	iVotingPosition
2014June3 	1030	3	Rodriguez	Luis	J.		LUIS J. RODRIGUEZ	Luis J. Rodriguez                                 	1	E   	Author/Community Organizer	23	GRN 	1
2014June3 	1030	17	Winston	Alma Marie			ALMA MARIE WINSTON	Alma Marie Winston                                	1	E   	Project Funding CEO	3	REP 	2
2014June3 	1030	10	Brown	Edmund	G. "Jerry"		EDMUND G. "JERRY" BROWN	Edmund G. "Jerry" Brown                           	1	E   	Governor of California	2	DEM 	3
2014June3 	1030	11	Buycks	Janel	Hyeshia		JANEL HYESHIA BUYCKS	Janel Hyeshia Buycks                              	1	E   	Minister/Business Owner	1	NPP 	4
2014June3 	1030	9	Blount	Andrew			ANDREW BLOUNT	Andrew Blount                                     	1	E   	Mayor/Businessperson	3	REP 	5
2014June3 	1030	13	Christian	Rakesh	Kumar		RAKESH KUMAR CHRISTIAN	Rakesh Kumar Christian                            	1	E   	Small Business Owner	1	NPP 	6
2014June3 	1030	12	Champ	Glenn			GLENN CHAMP	Glenn Champ                                       	1	E   	Business Owner/Engineer	3	REP 	7
2014June3 	1030	14	Kashkari	Neel			NEEL KASHKARI	Neel Kashkari                                     	1	E   	Businessman	3	REP 	8
2014June3 	1030	4	Donnelly	Tim			TIM DONNELLY	Tim Donnelly                                      	1	E   	California State Assemblyman	3	REP 	9
2014June3 	1030	8	Ambrozewicz	"BO" Bogdan			"BO" BOGDAN AMBROZEWICZ	"BO" Bogdan Ambrozewicz                           	1	E   	Small Business Owner	1	NPP 	10
2014June3 	1030	6	Agbede	Akinyemi			AKINYEMI AGBEDE	Akinyemi Agbede                                   	1	E   	Doctoral Student	2	DEM 	11
2014June3 	1030	7	Aguirre	Richard	William		RICHARD WILLIAM AGUIRRE	Richard William Aguirre                           	1	E   	Real Estate Investor	3	REP 	12
2014June3 	1030	5	Newman	Robert			ROBERT NEWMAN	Robert Newman                                     	1	E   	Psychologist/Farmer	1	NPP 	13
2014June3 	1030	2	Sheehan	Cindy	L		CINDY L. SHEEHAN	Cindy L. Sheehan                                  	1	E   	Author/Non-Profit Director	21	PF  	14
2014June3 	1030	15	Leicht	Joe			JOE LEICHT	Joe Leicht                                        	1	E   	Golf Course Operator	1	NPP 	15
