sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	1	1030	13
2014June3 	1	1040	4
2014June3 	1	1050	4
2014June3 	1	1060	4
2014June3 	1	1070	1
2014June3 	1	1080	7
2014June3 	1	1090	1
2014June3 	1	1100	2
2014June3 	1	1140	3
2014June3 	1	1330	0
2014June3 	1	2604	1
2014June3 	1	2621	2
2014June3 	1	2624	1
2014June3 	1	3001	1
2014June3 	1	4401	0
2014June3 	1	4410	1
2014June3 	1	4420	1
2014June3 	1	4430	2
2014June3 	1	5200	0
2014June3 	1	5209	0
2014June3 	2	1030	14
2014June3 	2	1040	5
2014June3 	2	1050	5
2014June3 	2	1060	5
2014June3 	2	1070	2
2014June3 	2	1080	1
2014June3 	2	1090	2
2014June3 	2	1100	1
2014June3 	2	1150	2
2014June3 	2	1340	0
2014June3 	2	2604	1
2014June3 	2	2621	1
2014June3 	2	2624	2
2014June3 	2	3001	2
2014June3 	2	4401	0
2014June3 	2	4410	1
2014June3 	2	4420	1
2014June3 	2	4430	1
2014June3 	2	5200	0
2014June3 	3	1030	13
2014June3 	3	1040	4
2014June3 	3	1050	4
2014June3 	3	1060	4
2014June3 	3	1070	1
2014June3 	3	1080	7
2014June3 	3	1090	1
2014June3 	3	1100	2
2014June3 	3	1140	3
2014June3 	3	1330	0
2014June3 	3	2604	1
2014June3 	3	2621	2
2014June3 	3	2624	1
2014June3 	3	3001	1
2014June3 	3	4401	0
2014June3 	3	4410	1
2014June3 	3	4420	1
2014June3 	3	4430	2
2014June3 	3	5200	0
2014June3 	4	1030	13
2014June3 	4	1040	4
2014June3 	4	1050	4
2014June3 	4	1060	4
2014June3 	4	1070	1
2014June3 	4	1080	7
2014June3 	4	1090	1
2014June3 	4	1100	2
2014June3 	4	1140	3
2014June3 	4	1330	0
2014June3 	4	2604	1
2014June3 	4	2621	2
2014June3 	4	2624	1
2014June3 	4	3001	1
2014June3 	4	4401	0
2014June3 	4	4410	1
2014June3 	4	4420	1
2014June3 	4	4430	2
2014June3 	4	5200	0
2014June3 	5	1030	14
2014June3 	5	1040	5
2014June3 	5	1050	5
2014June3 	5	1060	5
2014June3 	5	1070	2
2014June3 	5	1080	1
2014June3 	5	1090	2
2014June3 	5	1100	1
2014June3 	5	1140	4
2014June3 	5	1340	0
2014June3 	5	2604	1
2014June3 	5	2621	1
2014June3 	5	2624	2
2014June3 	5	3001	2
2014June3 	5	4401	0
2014June3 	5	4410	1
2014June3 	5	4420	1
2014June3 	5	4430	1
2014June3 	5	5200	0
2014June3 	6	1030	13
2014June3 	6	1040	4
2014June3 	6	1050	4
2014June3 	6	1060	4
2014June3 	6	1070	1
2014June3 	6	1080	7
2014June3 	6	1090	1
2014June3 	6	1100	2
2014June3 	6	1150	1
2014June3 	6	1330	0
