sElectionAbbr	lOfficeMasterHndl	iContestID	lPartyHndl	sPartyAbbr	szOfficeAbbr1	szOfficeAbbr2	lDistrictHndl	sDistrictID	lSubDistrictHndl	iSubDistrict	szGroupHdg	szBallotHeading	szSubHeading	szOfficeTitle	lLanguageHndl	sLanguageAbbr	iNumToVoteFor	iWriteIns	sCandidateSequence
2014June3 	2	1030			Governor		882	*0		0	VOTER NOMINATED	STATE		Governor	1	E   	1	1	R
2014June3 	2	1030			Governor		882	*0		0		ESTADO		Gobernador	2	S   	1	1	R
2014June3 	3	1040			Lieutenant Governor		882	*0		0	VOTER NOMINATED	STATE		Lieutenant Governor	1	E   	1	1	R
2014June3 	3	1040			Lieutenant Governor		882	*0		0		ESTADO		Vice Gobernador	2	S   	1	1	R
2014June3 	4	1050			Secretary of State		882	*0		0	VOTER NOMINATED	STATE		Secretary of State	1	E   	1	1	R
2014June3 	4	1050			Secretary of State		882	*0		0		ESTADO		Secretario del Estado	2	S   	1	1	R
2014June3 	5	1060			Controller		882	*0		0	VOTER NOMINATED	STATE		Controller	1	E   	1	1	R
2014June3 	5	1060			Controller		882	*0		0		ESTADO		Contralor	2	S   	1	1	R
2014June3 	6	1070			Treasurer		882	*0		0	VOTER NOMINATED	STATE		Treasurer	1	E   	1	1	R
2014June3 	6	1070			Treasurer		882	*0		0		ESTADO		Tesorero	2	S   	1	1	R
2014June3 	7	1080			Attorney General		882	*0		0	VOTER NOMINATED	STATE		Attorney General	1	E   	1	1	R
2014June3 	7	1080			Attorney General		882	*0		0		ESTADO		Procurador General	2	S   	1	1	R
2014June3 	8	1090			Insurance Commissioner		882	*0		0	VOTER NOMINATED	STATE		Insurance Commissioner	1	E   	1	1	R
2014June3 	8	1090			Insurance Commissioner		882	*0		0		ESTADO			2	S   	1	1	R
2014June3 	9	1100			State Board of	Equalization, District 2	985	SE002		0	VOTER NOMINATED	STATE		Member, State Board of Equalization, District 2	1	E   	1	1	R
2014June3 	9	1100			State Board of	Equalization, District 2	985	SE002		0		ESTADO		"Miembro, Consejo estatal de igualaminto,"/nDistrito 1	2	S   	1	1	R
2014June3 	12	1130			17th Congressional		1407	CG017		0	VOTER NOMINATED	UNITED STATES REPRESENTATIVE		District 17	1	E   	1	1	R
2014June3 	12	1130			17th Congressional		1407	CG017		0		REPRESENTANTE DE LOS ESTADOS UNIDOS		Distrito 13	2	S   	1	1	R
2014June3 	13	1140			18th Congressional		1408	CG018		0	VOTER NOMINATED	UNITED STATES REPRESENTATIVE		District 18	1	E   	1	1	R
2014June3 	13	1140			18th Congressional		1408	CG018		0		REPRESENTANTE DE LOS ESTADOS UNIDOS		Distrito 14	2	S   	1	1	R
