sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	35	County	882		*0	0	County of Santa Clara
2014June3 	8	Board of Equalization (State)	985		SE002	0	State Board Of Equalization #2
2014June3 	46	Santa Clara Valley Water Dist	1459	934	PK05	1	Santa Clara Valley Water District - Dist 1
2014June3 	46	Santa Clara Valley Water Dist	1460	934	PK05	2	Santa Clara Valley Water District - Dist 2
2014June3 	42	Census Tract District (2010)	1316		ZT-861	0	2010 CT - 5091.02
2014June3 	42	Census Tract District (2010)	1317		ZT-862	0	2010 CT - 5091.05
2014June3 	42	Census Tract District (2010)	1318		ZT-863	0	2010 CT - 5091.06
2014June3 	42	Census Tract District (2010)	1319		ZT-864	0	2010 CT - 5091.07
2014June3 	42	Census Tract District (2010)	1320		ZT-865	0	2010 CT - 5091.08
2014June3 	42	Census Tract District (2010)	1321		ZT-866	0	2010 CT - 5091.09
2014June3 	42	Census Tract District (2010)	1322		ZT-867	0	2010 CT - 5092.01
2014June3 	42	Census Tract District (2010)	1323		ZT-868	0	2010 CT - 5092.02
2014June3 	42	Census Tract District (2010)	1324		ZT-869	0	2010 CT - 5093.02
2014June3 	42	Census Tract District (2010)	1325		ZT-870	0	2010 CT - 5093.03
2014June3 	42	Census Tract District (2010)	1326		ZT-871	0	2010 CT - 5093.04
2014June3 	42	Census Tract District (2010)	1327		ZT-872	0	2010 CT - 5094.01
2014June3 	42	Census Tract District (2010)	1328		ZT-873	0	2010 CT - 5094.03
2014June3 	42	Census Tract District (2010)	1329		ZT-874	0	2010 CT - 5094.04
2014June3 	42	Census Tract District (2010)	1330		ZT-875	0	2010 CT - 5095
2014June3 	42	Census Tract District (2010)	1331		ZT-876	0	2010 CT - 5096
2014June3 	42	Census Tract District (2010)	1332		ZT-877	0	2010 CT - 5097
2014June3 	42	Census Tract District (2010)	1333		ZT-878	0	2010 CT - 5098.01
2014June3 	42	Census Tract District (2010)	1334		ZT-879	0	2010 CT - 5098.02
2014June3 	42	Census Tract District (2010)	1335		ZT-880	0	2010 CT - 5099.01
2014June3 	42	Census Tract District (2010)	1336		ZT-881	0	2010 CT - 5099.02
2014June3 	42	Census Tract District (2010)	1337		ZT-882	0	2010 CT - 5100.01
2014June3 	42	Census Tract District (2010)	1338		ZT-883	0	2010 CT - 5100.02
2014June3 	42	Census Tract District (2010)	1339		ZT-884	0	2010 CT - 5101
2014June3 	42	Census Tract District (2010)	1340		ZT-885	0	2010 CT - 5102
2014June3 	42	Census Tract District (2010)	1341		ZT-886	0	2010 CT - 5103
2014June3 	42	Census Tract District (2010)	1342		ZT-887	0	2010 CT - 5104
2014June3 	42	Census Tract District (2010)	1343		ZT-888	0	2010 CT - 5105
2014June3 	42	Census Tract District (2010)	1344		ZT-889	0	2010 CT - 5106
2014June3 	42	Census Tract District (2010)	1345		ZT-890	0	2010 CT - 5107
2014June3 	42	Census Tract District (2010)	1346		ZT-891	0	2010 CT - 5108.01
2014June3 	42	Census Tract District (2010)	1347		ZT-892	0	2010 CT - 5108.02
2014June3 	42	Census Tract District (2010)	1348		ZT-893	0	2010 CT - 5108.03
2014June3 	42	Census Tract District (2010)	1349		ZT-894	0	2010 CT - 5109
2014June3 	42	Census Tract District (2010)	1350		ZT-895	0	2010 CT - 5110
2014June3 	42	Census Tract District (2010)	1351		ZT-896	0	2010 CT -  5111
