sElectionAbbr	iMeasureID	iBalType
2014June3 	8601	1
2014June3 	8601	2
2014June3 	8601	3
2014June3 	8601	4
2014June3 	8601	5
2014June3 	8601	6
2014June3 	8601	7
2014June3 	8601	8
2014June3 	8601	9
2014June3 	8601	10
2014June3 	8601	11
2014June3 	8601	12
2014June3 	8601	13
2014June3 	8601	14
2014June3 	8601	15
2014June3 	8601	16
2014June3 	8601	17
2014June3 	8601	18
2014June3 	8601	19
2014June3 	8601	20
2014June3 	8601	21
2014June3 	8601	22
2014June3 	8601	23
2014June3 	8601	24
2014June3 	8601	25
2014June3 	8601	26
2014June3 	8601	27
2014June3 	8601	28
2014June3 	8601	29
2014June3 	8601	30
2014June3 	8601	31
2014June3 	8601	32
2014June3 	8601	33
2014June3 	8601	34
2014June3 	8601	35
2014June3 	8601	36
2014June3 	8601	37
2014June3 	8601	38
2014June3 	8601	39
2014June3 	8601	40
2014June3 	8601	41
2014June3 	8601	42
2014June3 	8601	43
2014June3 	8601	44
2014June3 	8601	45
2014June3 	8601	46
2014June3 	8601	47
2014June3 	8601	48
2014June3 	8601	49
2014June3 	8601	50
2014June3 	8601	51
2014June3 	8601	52
2014June3 	8601	53
2014June3 	8601	54
2014June3 	8601	55
2014June3 	8601	56
2014June3 	8601	57
2014June3 	8601	58
2014June3 	8601	59
2014June3 	8601	60
2014June3 	8601	61
2014June3 	8601	62
2014June3 	8601	63
2014June3 	8601	64
2014June3 	8601	65
2014June3 	8601	66
2014June3 	8601	67
2014June3 	8601	68
2014June3 	8601	69
2014June3 	8601	70
2014June3 	8601	71
2014June3 	8601	72
2014June3 	8601	73
2014June3 	8601	74
2014June3 	8601	75
2014June3 	8601	76
2014June3 	8601	77
2014June3 	8601	78
2014June3 	8601	79
2014June3 	8601	80
2014June3 	8601	81
2014June3 	8601	82
2014June3 	8601	83
2014June3 	8601	84
2014June3 	8601	85
2014June3 	8601	86
2014June3 	8601	87
2014June3 	8601	88
2014June3 	8601	89
2014June3 	8601	90
2014June3 	8601	91
2014June3 	8601	92
2014June3 	8601	93
2014June3 	8601	94
2014June3 	8601	95
2014June3 	8601	96
2014June3 	8601	97
2014June3 	8601	98
2014June3 	8601	99
2014June3 	8601	100
2014June3 	8601	101
2014June3 	8602	1
2014June3 	8602	2
2014June3 	8602	3
2014June3 	8602	4
2014June3 	8602	5
2014June3 	8602	6
2014June3 	8602	7
2014June3 	8602	8
2014June3 	8602	9
2014June3 	8602	10
2014June3 	8602	11
2014June3 	8602	12
2014June3 	8602	13
2014June3 	8602	14
2014June3 	8602	15
2014June3 	8602	16
2014June3 	8602	17
2014June3 	8602	18
2014June3 	8602	19
2014June3 	8602	20
2014June3 	8602	21
2014June3 	8602	22
2014June3 	8602	23
2014June3 	8602	24
2014June3 	8602	25
2014June3 	8602	26
2014June3 	8602	27
2014June3 	8602	28
2014June3 	8602	29
2014June3 	8602	30
2014June3 	8602	31
2014June3 	8602	32
2014June3 	8602	33
2014June3 	8602	34
2014June3 	8602	35
2014June3 	8602	36
2014June3 	8602	37
2014June3 	8602	38
2014June3 	8602	39
2014June3 	8602	40
2014June3 	8602	41
2014June3 	8602	42
2014June3 	8602	43
2014June3 	8602	44
2014June3 	8602	45
2014June3 	8602	46
2014June3 	8602	47
2014June3 	8602	48
2014June3 	8602	49
2014June3 	8602	50
2014June3 	8602	51
2014June3 	8602	52
2014June3 	8602	53
2014June3 	8602	54
2014June3 	8602	55
2014June3 	8602	56
2014June3 	8602	57
2014June3 	8602	58
2014June3 	8602	59
2014June3 	8602	60
2014June3 	8602	61
2014June3 	8602	62
2014June3 	8602	63
2014June3 	8602	64
2014June3 	8602	65
2014June3 	8602	66
2014June3 	8602	67
2014June3 	8602	68
2014June3 	8602	69
2014June3 	8602	70
2014June3 	8602	71
2014June3 	8602	72
2014June3 	8602	73
2014June3 	8602	74
2014June3 	8602	75
2014June3 	8602	76
2014June3 	8602	77
2014June3 	8602	78
2014June3 	8602	79
2014June3 	8602	80
2014June3 	8602	81
2014June3 	8602	82
2014June3 	8602	83
2014June3 	8602	84
2014June3 	8602	85
2014June3 	8602	86
2014June3 	8602	87
2014June3 	8602	88
2014June3 	8602	89
2014June3 	8602	90
2014June3 	8602	91
2014June3 	8602	92
2014June3 	8602	93
2014June3 	8602	94
2014June3 	8602	95
2014June3 	8602	96
2014June3 	8602	97
2014June3 	8602	98
2014June3 	8602	99
2014June3 	8602	100
2014June3 	8602	101
2014June3 	8700	62
2014June3 	8700	63
2014June3 	8700	64
2014June3 	8700	65
2014June3 	8701	1
2014June3 	8701	2
2014June3 	8701	3
2014June3 	8701	4
2014June3 	8701	5
2014June3 	8701	6
2014June3 	8701	7
2014June3 	8701	8
2014June3 	8701	9
2014June3 	8701	10
2014June3 	8701	11
2014June3 	8701	12
2014June3 	8701	13
2014June3 	8701	14
2014June3 	8701	15
2014June3 	8701	16
2014June3 	8701	17
2014June3 	8701	18
2014June3 	8701	19
2014June3 	8701	20
2014June3 	8701	21
2014June3 	8701	22
2014June3 	8701	23
2014June3 	8701	24
2014June3 	8701	25
2014June3 	8701	26
2014June3 	8701	27
2014June3 	8701	28
2014June3 	8701	29
2014June3 	8701	30
2014June3 	8701	31
2014June3 	8701	32
2014June3 	8701	33
2014June3 	8701	34
2014June3 	8701	35
2014June3 	8701	36
2014June3 	8701	37
2014June3 	8701	38
2014June3 	8701	39
2014June3 	8701	40
2014June3 	8701	41
2014June3 	8701	42
2014June3 	8701	43
2014June3 	8701	44
2014June3 	8701	45
2014June3 	8701	46
2014June3 	8701	47
2014June3 	8701	48
2014June3 	8701	49
2014June3 	8701	50
2014June3 	8701	51
2014June3 	8701	52
2014June3 	8701	53
2014June3 	8701	54
2014June3 	8702	76
2014June3 	8702	99
2014June3 	8702	100
2014June3 	8703	7
2014June3 	8703	55
2014June3 	8703	57
2014June3 	8703	62
2014June3 	8703	66
2014June3 	8703	84
2014June3 	8703	85
2014June3 	8703	87
2014June3 	8703	96
2014June3 	8704	97
2014June3 	8705	37
2014June3 	8705	38
2014June3 	8705	44
2014June3 	8705	78
2014June3 	8705	79
2014June3 	8705	81
2014June3 	8706	45
2014June3 	8706	47
2014June3 	8706	51
2014June3 	8706	53
2014June3 	8706	54
2014June3 	8706	65
2014June3 	8706	69
2014June3 	8706	70
2014June3 	8707	1
2014June3 	8707	3
2014June3 	8707	43
2014June3 	8707	64
2014June3 	8707	86
2014June3 	8707	88
2014June3 	8707	89
2014June3 	8708	36
2014June3 	8708	39
2014June3 	8708	40
2014June3 	8708	82
2014June3 	8708	83
2014June3 	8709	55
2014June3 	8709	56
2014June3 	8709	57
2014June3 	8709	58
2014June3 	8709	59
2014June3 	8709	60
2014June3 	8709	62
2014June3 	8709	63
2014June3 	8709	64
2014June3 	8709	65
2014June3 	8709	66
2014June3 	8709	67
2014June3 	8709	70
2014June3 	8709	73
2014June3 	8709	75
2014June3 	8709	84
2014June3 	8709	86
