sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPorHndl	sPrecinctPortion	lPartyHndl	sPartyAbbr	lTotalRegCount
2014June3 	2085	0001001	2085		59	AE  	0
2014June3 	2085	0001001	2085		15	AI  	28
2014June3 	2085	0001001	2085		2	DEM 	358
2014June3 	2085	0001001	2085		23	GRN 	6
2014June3 	2085	0001001	2085		27	LIB 	4
2014June3 	2085	0001001	2085		0	NP  	182
2014June3 	2085	0001001	2085		21	PF  	2
2014June3 	2085	0001001	2085		3	REP 	207
2014June3 	2086	0001002	2086		59	AE  	0
2014June3 	2086	0001002	2086		15	AI  	15
2014June3 	2086	0001002	2086		2	DEM 	244
2014June3 	2086	0001002	2086		23	GRN 	2
2014June3 	2086	0001002	2086		27	LIB 	2
2014June3 	2086	0001002	2086		0	NP  	145
2014June3 	2086	0001002	2086		21	PF  	2
2014June3 	2086	0001002	2086		3	REP 	146
2014June3 	2087	0001003	2087		59	AE  	0
2014June3 	2087	0001003	2087		15	AI  	3
2014June3 	2087	0001003	2087		2	DEM 	117
2014June3 	2087	0001003	2087		23	GRN 	3
2014June3 	2087	0001003	2087		27	LIB 	0
2014June3 	2087	0001003	2087		0	NP  	69
2014June3 	2087	0001003	2087		21	PF  	2
2014June3 	2087	0001003	2087		3	REP 	82
2014June3 	2088	0001004	2088		59	AE  	0
2014June3 	2088	0001004	2088		15	AI  	9
2014June3 	2088	0001004	2088		2	DEM 	188
2014June3 	2088	0001004	2088		23	GRN 	2
2014June3 	2088	0001004	2088		27	LIB 	1
2014June3 	2088	0001004	2088		0	NP  	91
2014June3 	2088	0001004	2088		21	PF  	1
2014June3 	2088	0001004	2088		3	REP 	109
2014June3 	2089	0001005	2089		59	AE  	0
2014June3 	2089	0001005	2089		15	AI  	18
2014June3 	2089	0001005	2089		2	DEM 	211
2014June3 	2089	0001005	2089		23	GRN 	3
2014June3 	2089	0001005	2089		27	LIB 	2
2014June3 	2089	0001005	2089		0	NP  	108
2014June3 	2089	0001005	2089		21	PF  	4
2014June3 	2089	0001005	2089		3	REP 	143
2014June3 	2090	0001006	2090		59	AE  	0
2014June3 	2090	0001006	2090		15	AI  	10
2014June3 	2090	0001006	2090		2	DEM 	225
2014June3 	2090	0001006	2090		23	GRN 	6
2014June3 	2090	0001006	2090		27	LIB 	4
2014June3 	2090	0001006	2090		0	NP  	125
2014June3 	2090	0001006	2090		21	PF  	0
2014June3 	2090	0001006	2090		3	REP 	131
2014June3 	2091	0001007	2091		59	AE  	0
2014June3 	2091	0001007	2091		15	AI  	21
2014June3 	2091	0001007	2091		2	DEM 	273
2014June3 	2091	0001007	2091		23	GRN 	4
2014June3 	2091	0001007	2091		27	LIB 	2
2014June3 	2091	0001007	2091		0	NP  	161
2014June3 	2091	0001007	2091		21	PF  	1
2014June3 	2091	0001007	2091		3	REP 	230
2014June3 	2092	0001008	2092		59	AE  	0
2014June3 	2092	0001008	2092		15	AI  	13
2014June3 	2092	0001008	2092		2	DEM 	316
2014June3 	2092	0001008	2092		23	GRN 	6
2014June3 	2092	0001008	2092		27	LIB 	8
2014June3 	2092	0001008	2092		0	NP  	157
2014June3 	2092	0001008	2092		21	PF  	1
2014June3 	2092	0001008	2092		3	REP 	184
2014June3 	4155	0001009	4155		59	AE  	0
2014June3 	4155	0001009	4155		15	AI  	6
2014June3 	4155	0001009	4155		2	DEM 	120
2014June3 	4155	0001009	4155		23	GRN 	0
2014June3 	4155	0001009	4155		27	LIB 	5
2014June3 	4155	0001009	4155		0	NP  	65
2014June3 	4155	0001009	4155		21	PF  	0
2014June3 	4155	0001009	4155		3	REP 	39
2014June3 	2093	0001010	2093		59	AE  	0
2014June3 	2093	0001010	2093		15	AI  	23
2014June3 	2093	0001010	2093		2	DEM 	300
2014June3 	2093	0001010	2093		23	GRN 	2
2014June3 	2093	0001010	2093		27	LIB 	9
2014June3 	2093	0001010	2093		0	NP  	149
2014June3 	2093	0001010	2093		21	PF  	3
2014June3 	2093	0001010	2093		3	REP 	207
2014June3 	2094	0001011	2094		59	AE  	0
2014June3 	2094	0001011	2094		15	AI  	25
2014June3 	2094	0001011	2094		2	DEM 	271
2014June3 	2094	0001011	2094		23	GRN 	3
2014June3 	2094	0001011	2094		27	LIB 	1
2014June3 	2094	0001011	2094		0	NP  	184
2014June3 	2094	0001011	2094		21	PF  	2
2014June3 	2094	0001011	2094		3	REP 	198
2014June3 	2095	0001012	2095		59	AE  	0
2014June3 	2095	0001012	2095		15	AI  	10
