sElectionAbbr	lPctPorHndl	lPrecinctHndl	sPrecinctID	sPrecinctPortion	szPrecinctName	iBalType	sAbsenteePrecinctID	szAbsenteePrecinctName	iMailBallotPrecinct	sVotingPrecinctID	szVotingPrecinctName
2014June3 		2085	0001001		PCT 1001	1	8001001	PCT 1001  S	0	0001001	PCT 1001  S
2014June3 		2086	0001002		PCT 1002	1	8001002	PCT 1002  S	0	0001002	PCT 1002  S
2014June3 		2087	0001003		PCT 1003	1	8001003	PCT 1003  S	0	0001003	PCT 1003  S
2014June3 		2088	0001004		PCT 1004	1	8001003	PCT 1003  S	0	0001003	PCT 1003  S
2014June3 		2089	0001005		PCT 1005	1	8001003	PCT 1003  S	0	0001003	PCT 1003  S
2014June3 		2090	0001006		PCT 1006	1	8001006	PCT 1006  S	0	0001006	PCT 1006  S
2014June3 		2091	0001007		PCT 1007	1	8001006	PCT 1006  S	0	0001006	PCT 1006  S
2014June3 		2092	0001008		PCT 1008	1	8001008	PCT 1008  S	0	0001008	PCT 1008  S
2014June3 		4155	0001009		PCT 1009	2	8001009	PCT 1009  S	0	0001009	PCT 1009  S
2014June3 		2093	0001010		PCT 1010	1	8001010	PCT 1010  S	0	0001010	PCT 1010  S
2014June3 		2094	0001011		PCT 1011	1	8001011	PCT 1011	0	0001011	PCT 1011
2014June3 		2095	0001012		PCT 1012	1	8001011	PCT 1011	0	0001011	PCT 1011
2014June3 		2096	0001013		PCT 1013	3	8001013	PCT 1013  C/S	0	0001013	PCT 1013  C/S
2014June3 		2097	0001014		PCT 1014	3	8001014	PCT 1014  C/S	0	0001014	PCT 1014  C/S
2014June3 		2098	0001015		PCT 1015	3	8001013	PCT 1013  C/S	0	0001013	PCT 1013  C/S
2014June3 		2100	0001017		PCT 1017	4	8001017	PCT 1017  S/V	0	0001017	PCT 1017  S/V
2014June3 		2101	0001018		PCT 1018	4	8001017	PCT 1017  S/V	0	0001017	PCT 1017  S/V
2014June3 		2103	0001020		PCT 1020	4	8001020	PCT 1020  C	0	0001020	PCT 1020  C
2014June3 		2104	0001021		PCT 1021	4	8001021	PCT 1021  C	0	0001021	PCT 1021  C
2014June3 		2105	0001022		PCT 1022	4	8001020	PCT 1020  C	0	0001020	PCT 1020  C
2014June3 		2106	0001023		PCT 1023	4	8001023	PCT 1023  C	0	0001023	PCT 1023  C
