sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPortionHndl	sPrecinctPortion	lDistrictHndl	sElecDistrictID	lSubDistrictHndl	iElecSubDistrict
2014June3 	2530	0001521	2530		882	*0	882	0
2014June3 	2530	0001521	2530		1424	*402	1424	0
2014June3 	2530	0001521	2530		902	*520	902	0
2014June3 	2530	0001521	2530		902	*520	1417	5
2014June3 	2530	0001521	2530		1409	CG019	1409	0
2014June3 	2530	0001521	2530		934	PK05	934	0
2014June3 	2530	0001521	2530		934	PK05	1464	6
2014June3 	2530	0001521	2530		945	PK09	945	0
2014June3 	2530	0001521	2530		945	PK09	951	6
2014June3 	2530	0001521	2530		1399	SA027	1399	0
2014June3 	2530	0001521	2530		972	SCC-3	972	0
2014June3 	2530	0001521	2530		972	SCC-3	974	2
2014June3 	2530	0001521	2530		985	SE002	985	0
2014June3 	2530	0001521	2530		987	SHS-2	987	0
2014June3 	2530	0001521	2530		1405	SS015	1405	0
2014June3 	2530	0001521	2530		1033	SUS-V	1033	0
2014June3 	2530	0001521	2530		1043	SUT-06	1043	0
2014June3 	2530	0001521	2530		1176	ZT-721	1176	0
2014June3 	2531	0001522	2531		882	*0	882	0
2014June3 	2531	0001522	2531		1424	*402	1424	0
2014June3 	2531	0001522	2531		902	*520	902	0
2014June3 	2531	0001522	2531		902	*520	1417	5
2014June3 	2531	0001522	2531		1409	CG019	1409	0
2014June3 	2531	0001522	2531		934	PK05	934	0
2014June3 	2531	0001522	2531		934	PK05	1464	6
2014June3 	2531	0001522	2531		945	PK09	945	0
2014June3 	2531	0001522	2531		945	PK09	951	6
2014June3 	2531	0001522	2531		1399	SA027	1399	0
2014June3 	2531	0001522	2531		972	SCC-3	972	0
2014June3 	2531	0001522	2531		972	SCC-3	974	2
2014June3 	2531	0001522	2531		985	SE002	985	0
2014June3 	2531	0001522	2531		987	SHS-2	987	0
2014June3 	2531	0001522	2531		1405	SS015	1405	0
2014June3 	2531	0001522	2531		1011	SUS-A	1011	0
2014June3 	2531	0001522	2531		1043	SUT-06	1043	0
2014June3 	2531	0001522	2531		1176	ZT-721	1176	0
2014June3 	2531	0001522	2531		1177	ZT-722	1177	0
2014June3 	2535	0001526	2535		882	*0	882	0
2014June3 	2535	0001526	2535		1424	*402	1424	0
2014June3 	2535	0001526	2535		902	*520	902	0
2014June3 	2535	0001526	2535		902	*520	1420	8
2014June3 	2535	0001526	2535		1409	CG019	1409	0
2014June3 	2535	0001526	2535		934	PK05	934	0
2014June3 	2535	0001526	2535		934	PK05	1464	6
2014June3 	2535	0001526	2535		943	PK07	943	0
2014June3 	2535	0001526	2535		945	PK09	945	0
2014June3 	2535	0001526	2535		945	PK09	951	6
2014June3 	2535	0001526	2535		1399	SA027	1399	0
2014June3 	2535	0001526	2535		972	SCC-3	972	0
2014June3 	2535	0001526	2535		972	SCC-3	974	2
2014June3 	2535	0001526	2535		985	SE002	985	0
2014June3 	2535	0001526	2535		987	SHS-2	987	0
2014June3 	2535	0001526	2535		1405	SS015	1405	0
2014June3 	2535	0001526	2535		1011	SUS-A	1011	0
2014June3 	2535	0001526	2535		1043	SUT-06	1043	0
2014June3 	2535	0001526	2535		1157	ZT-702	1157	0
2014June3 	2559	0001550	2559		882	*0	882	0
2014June3 	2559	0001550	2559		1425	*403	1425	0
2014June3 	2559	0001550	2559		902	*520	902	0
2014June3 	2559	0001550	2559		902	*520	1417	5
2014June3 	2559	0001550	2559		1409	CG019	1409	0
2014June3 	2559	0001550	2559		934	PK05	934	0
2014June3 	2559	0001550	2559		934	PK05	1464	6
2014June3 	2559	0001550	2559		945	PK09	945	0
2014June3 	2559	0001550	2559		945	PK09	946	1
2014June3 	2559	0001550	2559		1399	SA027	1399	0
2014June3 	2559	0001550	2559		972	SCC-3	972	0
2014June3 	2559	0001550	2559		972	SCC-3	975	3
2014June3 	2559	0001550	2559		985	SE002	985	0
2014June3 	2559	0001550	2559		987	SHS-2	987	0
2014June3 	2559	0001550	2559		1405	SS015	1405	0
2014June3 	2559	0001550	2559		1011	SUS-A	1011	0
2014June3 	2559	0001550	2559		1043	SUT-06	1043	0
2014June3 	2559	0001550	2559		1177	ZT-722	1177	0
2014June3 	2559	0001550	2559		1178	ZT-723	1178	0
2014June3 	2562	0001553	2562		882	*0	882	0
2014June3 	2562	0001553	2562		1424	*402	1424	0
2014June3 	2562	0001553	2562		902	*520	902	0
2014June3 	2562	0001553	2562		902	*520	1420	8
2014June3 	2562	0001553	2562		1409	CG019	1409	0
2014June3 	2562	0001553	2562		934	PK05	934	0
2014June3 	2562	0001553	2562		934	PK05	1464	6
2014June3 	2562	0001553	2562		945	PK09	945	0
2014June3 	2562	0001553	2562		945	PK09	951	6
2014June3 	2562	0001553	2562		1399	SA027	1399	0
2014June3 	2562	0001553	2562		972	SCC-3	972	0
2014June3 	2562	0001553	2562		972	SCC-3	974	2
2014June3 	2562	0001553	2562		985	SE002	985	0
2014June3 	2562	0001553	2562		987	SHS-2	987	0
2014June3 	2562	0001553	2562		1405	SS015	1405	0
2014June3 	2562	0001553	2562		1033	SUS-V	1033	0
2014June3 	2562	0001553	2562		1043	SUT-06	1043	0
2014June3 	2562	0001553	2562		1155	ZT-700	1155	0
2014June3 	2791	0001795	2791		882	*0	882	0
2014June3 	2791	0001795	2791		1425	*403	1425	0
2014June3 	2791	0001795	2791		902	*520	902	0
2014June3 	2791	0001795	2791		902	*520	1417	5
